tic,Tmag,Teff,rad,sde,period,t0,depth_ppm,duration_hr,n_transits,rp_earth,oddeven_sigma,secondary_sigma,verdict
401984769,13.5085,2777.0,0.120014,4.77,10.82651,4179.64516,5983.6,0.72,3,1.01,0.34,1.96,no_signal
192642951,12.889,2820.0,0.128491,19.18,0.62594,4179.29447,2744.8,2.38,35,0.74,0.33,1.27,CANDIDATE
201688405,13.8444,2821.0,0.128664,15.71,0.69344,4180.24639,1715.5,3.6,32,0.58,0.07,2.64,CANDIDATE
389051009,13.0324,2832.0,0.133847,24.47,0.5725,4179.57751,10227.4,1.44,39,1.48,0.1,16.8,eclipsing_binary_secondary
175516858,12.5308,2972.0,0.13884,5.21,11.42277,4180.30049,3833.6,0.72,2,0.94,0.0,-0.73,no_signal
7150628,13.8558,2925.0,0.148379,4.78,3.81352,4181.62364,5051.7,0.72,7,1.15,0.73,-2.49,no_signal
206556679,13.6539,2884.0,0.152571,24.18,0.51875,4180.05113,8501.2,2.38,45,1.54,2.0,11.65,eclipsing_binary_secondary
80315364,12.3746,2953.0,0.159724,3.93,4.38541,4181.74382,1309.2,1.44,6,0.63,0.38,-0.59,no_signal
229158672,13.6348,3059.0,0.160375,21.14,0.59469,4180.34367,1821.5,3.6,37,0.75,1.98,1.33,CANDIDATE
161174284,11.8795,2964.0,0.16374,13.69,0.50063,4179.7355,987.5,3.6,46,0.56,1.13,-6.78,CANDIDATE
387220832,12.9136,2817.0,0.16378,4.39,1.24689,4180.19978,1470.8,1.44,18,0.69,1.81,-0.07,no_signal
32452177,12.6569,3110.0,0.164525,5.14,4.3376,4180.70707,2821.1,0.72,5,0.95,1.6,-0.44,no_signal
161174286,11.7183,3008.0,0.165217,15.78,0.5,4179.7565,918.1,3.6,46,0.55,0.89,-7.42,CANDIDATE
197987557,13.596,2995.0,0.167397,10.95,0.65969,4179.97356,2033.5,1.44,34,0.82,1.17,5.85,eclipsing_binary_secondary
320784708,13.7471,2990.0,0.167865,6.31,2.13035,4181.04818,3139.1,1.44,10,1.03,0.6,0.22,no_signal
42071226,11.1031,2973.0,0.168946,7.07,1.89472,4180.12935,622.9,0.72,12,0.46,0.09,0.8,no_signal
180444967,13.5345,3080.0,0.169708,5.42,8.86646,4184.54627,6113.1,0.72,2,1.45,0.0,1.09,no_signal
144067198,13.8784,2852.0,0.176027,6.36,9.71617,4183.48733,7856.9,0.72,3,1.7,1.49,-0.47,no_signal
139763851,12.6371,3052.0,0.17858,5.76,6.80047,4181.99586,3197.1,0.72,4,1.1,0.54,-1.04,no_signal
155896947,12.9188,3029.0,0.178912,23.1,0.71469,4180.08038,7988.5,3.6,32,1.75,0.27,25.26,eclipsing_binary_secondary
220512758,13.1005,3098.0,0.179199,4.35,10.21087,4180.27158,3473.4,1.44,3,1.15,2.32,0.93,no_signal
410058152,13.91,3105.0,0.179776,13.41,0.5,4179.90113,2181.1,3.6,45,0.92,0.86,-6.34,CANDIDATE
80432138,13.9009,3093.0,0.182597,12.71,0.61844,4180.20869,1694.9,2.38,35,0.82,0.32,2.9,CANDIDATE
277771912,12.8777,2974.0,0.185635,5.99,11.52309,4180.14436,6125.2,0.72,2,1.59,0.0,0.34,no_signal
7129303,13.0812,3064.0,0.186814,8.08,7.52299,4185.6467,6809.7,0.72,3,1.68,0.11,1.04,CANDIDATE
79301672,13.1687,3085.0,0.188055,7.89,0.62313,4179.63513,1381.5,1.44,36,0.76,1.13,2.68,no_signal
120506718,12.6923,3117.0,0.188827,4.11,4.30447,4180.76571,2963.4,0.72,6,1.12,1.03,-0.39,no_signal
352438054,12.7207,3444.0,0.189385,7.9,3.70664,4182.2869,2519.1,0.72,6,1.04,0.16,1.04,no_signal
218700582,12.9145,3287.0,0.189495,6.33,7.3458,4182.04446,6518.7,0.72,4,1.67,1.05,0.63,no_signal
319673470,12.6622,3221.0,0.189913,5.3,1.4319,4180.96505,1437.9,0.72,15,0.79,1.7,0.48,no_signal
234523931,13.2341,3127.0,0.193748,20.74,0.56844,4180.15732,1469.2,3.6,41,0.81,0.61,-1.51,CANDIDATE
396088793,12.9392,3159.0,0.205332,10.77,0.57875,4180.08782,717.0,3.6,39,0.6,0.28,-5.58,CANDIDATE
366989133,11.9642,3149.0,0.208428,20.82,0.75032,4180.1348,3429.6,3.6,29,1.33,0.44,24.13,eclipsing_binary_secondary
144065598,12.9578,3178.0,0.208761,3.4,12.44467,4179.65097,17359.4,0.72,2,3.0,0.0,1.24,no_signal
183584918,12.8642,3260.0,0.209396,3.91,4.9723,4179.90746,4791.2,0.72,4,1.58,0.87,-0.8,no_signal
62020444,9.38922,3158.0,0.21187,5.68,9.10303,4185.98902,314.7,2.38,3,0.41,0.32,0.63,no_signal
201251167,12.3577,3205.0,0.213166,5.58,9.5021,4188.27204,3046.2,0.72,2,1.28,0.63,0.58,no_signal
32255963,13.1965,2971.0,0.216464,20.0,0.59813,4180.42085,2096.3,3.6,38,1.08,0.19,11.32,eclipsing_binary_secondary
206604031,12.6878,3095.0,0.218845,5.26,11.40152,4181.66586,3267.0,0.72,3,1.37,0.65,0.4,no_signal
370142187,12.3208,3160.0,0.219694,3.62,10.92526,4182.67465,3562.3,0.72,2,1.43,0.0,-0.83,no_signal
113233475,12.4532,3027.0,0.222541,18.53,0.71626,4179.56516,2258.7,3.6,32,1.15,1.7,-6.38,CANDIDATE
91515785,13.0567,3186.0,0.222848,5.27,3.70227,4182.04363,3382.5,0.72,6,1.42,0.12,1.95,no_signal
67649023,12.7578,3100.0,0.223067,4.47,4.39228,4184.28573,1812.5,2.38,5,1.04,1.49,-0.06,no_signal
122504264,13.1621,3181.0,0.22389,20.48,0.73688,4180.31567,8617.8,3.6,30,2.27,0.26,23.69,eclipsing_binary_secondary
48977791,13.9682,2961.0,0.224474,10.29,0.75907,4179.7919,2797.3,3.6,29,1.3,0.6,5.56,eclipsing_binary_secondary
354170042,12.2481,3169.0,0.224551,6.0,3.02444,4179.91746,1631.4,0.72,7,0.99,1.66,-0.34,no_signal
410058419,13.9897,3071.0,0.225395,23.6,0.58125,4179.6994,3515.7,3.6,37,1.46,0.15,-11.66,CANDIDATE
206361339,11.737,3195.0,0.227105,4.02,11.38558,4179.65004,3520.3,0.72,2,1.47,0.0,0.46,no_signal
